1122939, -42
1119779, -42
1121939, -46
1119817, -35
1120049, -61
1121398, -46
1120031, -55
1119550, -43
1092224, -40
1120986, -64
1118989, -41
1121520, -78
1119138, -46
1119700, -87
1120814, -44
1121491, -30
1117285, -82
1120571, -37
1120267, -61
1119185, -86
1123011, -36
1122318, -109
1120695, -40
1120082, -62
1118986, -36
1119261, -34
1119647, -34
1119017, -57
1119431, -67
1117822, -48
1119734, -28
1119888, -33
1120612, -39
1123367, -35
1121964, -51
1121640, -92
1120416, -51
1117215, -51
1119827, -36
1119449, -42
1119585, -47
1121321, -38
1119078, -52
1122451, -47
1120718, -32
1122240, -35
1120648, -36
1119735, -46
1118768, -90
1119242, -37
1119863, -43
1118134, -38
1120306, -38
1117729, -44
1120695, -30
1121317, -36
1120255, -70
1121167, -53
1088384, -44
1119961, -44
1120787, -41
1119104, -72
1118696, -41
1121947, -66
1120693, -49
1119456, -71
1119217, -86
1120052, -77
1120081, -33
1119526, -32
1118777, -51
1122516, -43
1122425, -41
1120369, -44
1119758, -39
1122088, -28
1120841, -42
1121640, -41
1118620, -33
1117924, -35
1119723, -97
1120272, -37
1120762, -69
1118918, -96
1121229, -79
1121630, -78
1123211, -46
1120485, -38
1121123, -42
1120936, -49
1122400, -36
1120944, -87
1121607, -42
1120215, -42
1122648, -29
1120948, -42
1122864, -70
1118558, -39
1120250, -50
1120674, -40
1122005, -52
1120335, -79
1121211, -90
1118986, -56
1121634, -36
1121198, -80
1121047, -46
1121129, -43
1119373, -55
1118097, -55
1119550, -64
1114781, -32
1119872, -59
1120450, -33
1119769, -59
1120674, -41
1121089, -53
1118876, -57
1120691, -38
1118716, -33
1119164, -61
1117782, -73
1119013, -26
1119139, -54
1120017, -49
1120603, -36
1118928, -31
1118718, -39
1120083, -36
1119428, -41
1114008, -41
1119286, -80
1117482, -99
1119110, -86
1120371, -31
1120760, -32
1120713, -87
1119697, -35
1110482, -32
1120447, -47
1118626, -52
1118733, -34
1119218, -39
1121050, -33
1120680, -56
1121127, -45
1119544, -32
1122664, -38
1119081, -41
1120968, -48
1120195, -68
1122635, -34
1120507, -46
1118366, -42
1117229, -53
1118677, -49
1119794, -40
1119718, -39
1118965, -55
1120376, -50
1120681, -33
1121023, -34
1120942, -33
1123072, -35
1120879, -59
1118661, -60
1120906, -80
1121262, -63
1121020, -74
1121362, -39
1121219, -105
1120753, -32
1118667, -33
1122077, -59
1121494, -57
1120664, -38
1123419, -34
1120166, -77
1122468, -64
1120126, -49
1121520, -28
1120388, -40
1120433, -106
1119533, -56
1119648, -52
1120445, -80
1120301, -32
1121845, -46
1120790, -35
1120647, -35
1119280, -36
1119530, -44
1121999, -39
1120166, -48
1119195, -47
1120322, -56
1117036, -53
1120673, -47
1121627, -40
1120862, -28
1121980, -55
1119981, -56
1120188, -95
1117473, -41
1120266, -41
1117683, -53
1120123, -72
1120286, -31
1120523, -48
1119364, -50
1121087, -84
1121285, -29
1122094, -27
1121047, -46
1121717, -70
1120581, -38
1119968, -80
1121326, -66
1121352, -30
1119896, -56
1120967, -34
1120781, -39
1120083, -42
1121699, -31
1119459, -52
1119939, -53
1120435, -48
1121493, -43
1119395, -58
1119071, -44
1120455, -53
1119610, -29
1118044, -29
1121526, -44
1121457, -73
1123000, -45
1121493, -45
1121642, -38
1120856, -37
1121645, -44
1121774, -37
1122747, -63
1120816, -80
1118762, -34
1120104, -32
1119703, -33
1120978, -46
1119036, -96
1118483, -41
1121134, -73
1119955, -28
1120952, -70
1121866, -54
1118053, -95
1118647, -50
1118516, -94
1120075, -40
1120853, -39
1115707, -37
1121082, -63
1120864, -45
1121852, -63
1118825, -64
1120377, -94
1122421, -46
1107389, -40
1119733, -58
1118395, -45
1122761, -92
1119894, -32
1118708, -35
1120361, -48
1121429, -45
1119995, -52
